variable,group,replication,n_nonmissing,weight_nonmissing,paper,diff,abs_diff,codebook_label
X302,Borrow,0.015641682799513782,541,3279593.6739999996,14.8,-14.784358317200487,14.784358317200487,Q33 N Q33:A2. INTEREST RATES HIGHER/LOWER X302
X302,Borrow and save,0.016646198961116996,3073,17828104.496000014,13.7,-13.683353801038882,13.683353801038882,Q33 N Q33:A2. INTEREST RATES HIGHER/LOWER X302
X302,Save,0.016194184108844278,10776,45523858.83999998,9.8,-9.7838058158911565,9.7838058158911565,Q33 N Q33:A2. INTEREST RATES HIGHER/LOWER X302
X7132,Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277,Q86A1 N Q86A1:B9_1. INTEREST ON CARD W/HI BAL X7132
X7132,Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062,Q86A1 N Q86A1:B9_1. INTEREST ON CARD W/HI BAL X7132
X7132,Save,9.282843827770275,10776,45523858.83999998,9.8,-0.5171561722297255,0.5171561722297255,Q86A1 N Q86A1:B9_1. INTEREST ON CARD W/HI BAL X7132
X816,Borrow,3.620692763142586,541,3279593.6739999996,14.8,-11.179307236857415,11.179307236857415,Q251A1 N Q251A1:D35. ANNUAL INT RATE ON LOAN X816
X816,Borrow and save,4.722841359649389,3073,17828104.496000014,13.7,-8.97715864035061,8.97715864035061,Q251A1 N Q251A1:D35. ANNUAL INT RATE ON LOAN X816
X816,Save,3.548509547405499,10776,45523858.83999998,9.8,-6.251490452594502,6.251490452594502,Q251A1 N Q251A1:D35. ANNUAL INT RATE ON LOAN X816
X820,Borrow,0.01874401756758603,541,3279593.6739999996,14.8,-14.781255982432414,14.781255982432414,Q260A1 N Q260A1:D39. ADJUSTABLE RATE LOAN? X820
X820,Borrow and save,0.02800112005019963,3073,17828104.496000014,13.7,-13.6719988799498,13.6719988799498,Q260A1 N Q260A1:D39. ADJUSTABLE RATE LOAN? X820
X820,Save,0.021580103779708523,10776,45523858.83999998,9.8,-9.778419896220292,9.778419896220292,Q260A1 N Q260A1:D39. ADJUSTABLE RATE LOAN? X820
X821,Borrow,0.0015212254492231348,541,3279593.6739999996,14.8,-14.798478774550778,14.798478774550778,Q261A1 N Q261A1:D39_1.RATE DEPEND ON OTH RATES? X821
X821,Borrow and save,0.0011983443166823122,3073,17828104.496000014,13.7,-13.698801655683317,13.698801655683317,Q261A1 N Q261A1:D39_1.RATE DEPEND ON OTH RATES? X821
X821,Save,0.001021500397043231,10776,45523858.83999998,9.8,-9.798978499602958,9.798978499602958,Q261A1 N Q261A1:D39_1.RATE DEPEND ON OTH RATES? X821
X823,Borrow,7.597469649223383e-4,541,3279593.6739999996,14.8,-14.799240253035078,14.799240253035078,Q263A1 N Q263A1:D39_3.#TIMES RATE CAN CHNG/FREQ X823
X823,Borrow and save,0.001029803007050985,3073,17828104.496000014,13.7,-13.69897019699295,13.69897019699295,Q263A1 N Q263A1:D39_3.#TIMES RATE CAN CHNG/FREQ X823
X823,Save,9.575270060739868e-4,10776,45523858.83999998,9.8,-9.799042472993927,9.799042472993927,Q263A1 N Q263A1:D39_3.#TIMES RATE CAN CHNG/FREQ X823
X824,Borrow,0.005053475761765969,541,3279593.6739999996,14.8,-14.794946524238235,14.794946524238235,Q264A1 N Q264A1:D39_3F. FREQ RATE CHANGE X824
X824,Borrow and save,0.00571338977976338,3073,17828104.496000014,13.7,-13.694286610220235,13.694286610220235,Q264A1 N Q264A1:D39_3F. FREQ RATE CHANGE X824
X824,Save,0.004668861073201588,10776,45523858.83999998,9.8,-9.7953311389268,9.7953311389268,Q264A1 N Q264A1:D39_3F. FREQ RATE CHANGE X824
X825,Borrow,6.29469637158472e-4,541,3279593.6739999996,14.8,-14.799370530362843,14.799370530362843,Q267A1 N Q267A1:D39_4.SIZE PMTS CHANGE W/RATE? X825
X825,Borrow and save,0.0012087514309126353,3073,17828104.496000014,13.7,-13.698791248569087,13.698791248569087,Q267A1 N Q267A1:D39_4.SIZE PMTS CHANGE W/RATE? X825
X825,Save,8.269633963217867e-4,10776,45523858.83999998,9.8,-9.79917303660368,9.79917303660368,Q267A1 N Q267A1:D39_4.SIZE PMTS CHANGE W/RATE? X825
X826,Borrow,0.37270430562490475,541,3279593.6739999996,14.8,-14.427295694375095,14.427295694375095,Q268A1 N Q268A1:D39_5.MAX RATE CAN RISE AT ONCE X826
X826,Borrow and save,0.21092675784706685,3073,17828104.496000014,13.7,-13.489073242152932,13.489073242152932,Q268A1 N Q268A1:D39_5.MAX RATE CAN RISE AT ONCE X826
X826,Save,0.14415363456697686,10776,45523858.83999998,9.8,-9.655846365433025,9.655846365433025,Q268A1 N Q268A1:D39_5.MAX RATE CAN RISE AT ONCE X826
X828,Borrow,0.5799794522838196,541,3279593.6739999996,14.8,-14.220020547716182,14.220020547716182,Q269A1 N Q269A1:D39_6. ORIGINAL INTEREST RATE X828
X828,Borrow and save,0.5180223980609986,3073,17828104.496000014,13.7,-13.181977601939,13.181977601939,Q269A1 N Q269A1:D39_6. ORIGINAL INTEREST RATE X828
X828,Save,0.389569822810741,10776,45523858.83999998,9.8,-9.41043017718926,9.41043017718926,Q269A1 N Q269A1:D39_6. ORIGINAL INTEREST RATE X828
X827,Borrow,0.8210848952259565,541,3279593.6739999996,14.8,-13.978915104774044,13.978915104774044,Q270A1 N Q270A1:D39_7. MAX RATE CAN BE CHARGED X827
X827,Borrow and save,0.7682284886300109,3073,17828104.496000014,13.7,-12.931771511369988,12.931771511369988,Q270A1 N Q270A1:D39_7. MAX RATE CAN BE CHARGED X827
X827,Save,0.6374007128737508,10776,45523858.83999998,9.8,-9.16259928712625,9.16259928712625,Q270A1 N Q270A1:D39_7. MAX RATE CAN BE CHARGED X827
X916,Borrow,0.5168583997457729,541,3279593.6739999996,14.8,-14.283141600254227,14.283141600254227,Q251A2 N Q251A2:D35. ANNUAL INT RATE ON LOAN X916
X916,Borrow and save,0.7226938237831603,3073,17828104.496000014,13.7,-12.977306176216839,12.977306176216839,Q251A2 N Q251A2:D35. ANNUAL INT RATE ON LOAN X916
X916,Save,0.4437742221700467,10776,45523858.83999998,9.8,-9.356225777829954,9.356225777829954,Q251A2 N Q251A2:D35. ANNUAL INT RATE ON LOAN X916
X920,Borrow,0.0017005815153917148,541,3279593.6739999996,14.8,-14.798299418484609,14.798299418484609,Q260A2 N Q260A2:D39. ADJUSTABLE RATE LOAN? X920
X920,Borrow and save,0.0032163818151764497,3073,17828104.496000014,13.7,-13.696783618184822,13.696783618184822,Q260A2 N Q260A2:D39. ADJUSTABLE RATE LOAN? X920
X920,Save,0.00224692078409933,10776,45523858.83999998,9.8,-9.797753079215902,9.797753079215902,Q260A2 N Q260A2:D39. ADJUSTABLE RATE LOAN? X920
X1016,Borrow,0.49678787957071785,541,3279593.6739999996,14.8,-14.303212120429283,14.303212120429283,Q251A3 N Q251A3:D35. ANNUAL INT RATE ON LOAN X1016
X1016,Borrow and save,0.24366364979825253,3073,17828104.496000014,13.7,-13.456336350201747,13.456336350201747,Q251A3 N Q251A3:D35. ANNUAL INT RATE ON LOAN X1016
X1016,Save,0.1691597935395936,10776,45523858.83999998,9.8,-9.630840206460407,9.630840206460407,Q251A3 N Q251A3:D35. ANNUAL INT RATE ON LOAN X1016
X1020,Borrow,0.0022408582984722518,541,3279593.6739999996,14.8,-14.797759141701528,14.797759141701528,Q260A3 N Q260A3:D39. ADJUSTABLE RATE LOAN? X1020
X1020,Borrow and save,0.0012926431592977568,3073,17828104.496000014,13.7,-13.698707356840702,13.698707356840702,Q260A3 N Q260A3:D39. ADJUSTABLE RATE LOAN? X1020
X1020,Save,6.972795397588052e-4,10776,45523858.83999998,9.8,-9.799302720460242,9.799302720460242,Q260A3 N Q260A3:D39. ADJUSTABLE RATE LOAN? X1020
X1045,Borrow,0.10647533649316339,541,3279593.6739999996,14.8,-14.693524663506837,14.693524663506837,Q297 N Q297:D50. ANNUAL INTEREST RATE X1045
X1045,Borrow and save,0.03031148937910059,3073,17828104.496000014,13.7,-13.6696885106209,13.6696885106209,Q297 N Q297:D50. ANNUAL INTEREST RATE X1045
X1045,Save,0.047371283518811674,10776,45523858.83999998,9.8,-9.752628716481189,9.752628716481189,Q297 N Q297:D50. ANNUAL INTEREST RATE X1045
X1111,Borrow,0.702193748316152,541,3279593.6739999996,14.8,-14.09780625168385,14.09780625168385,Q315A1 N Q315A1:D53_7. ANNUAL INTEREST RATE X1111
X1111,Borrow and save,0.9936087195615458,3073,17828104.496000014,13.7,-12.706391280438453,12.706391280438453,Q315A1 N Q315A1:D53_7. ANNUAL INTEREST RATE X1111
X1111,Save,0.7084515049243127,10776,45523858.83999998,9.8,-9.091548495075688,9.091548495075688,Q315A1 N Q315A1:D53_7. ANNUAL INTEREST RATE X1111
X1122,Borrow,0,541,3279593.6739999996,14.8,-14.8,14.8,Q315A2 N Q315A2:D53_7. ANNUAL INTEREST RATE X1122
X1122,Borrow and save,0.06513963074765225,3073,17828104.496000014,13.7,-13.634860369252348,13.634860369252348,Q315A2 N Q315A2:D53_7. ANNUAL INTEREST RATE X1122
X1122,Save,0.060982925071384406,10776,45523858.83999998,9.8,-9.739017074928617,9.739017074928617,Q315A2 N Q315A2:D53_7. ANNUAL INTEREST RATE X1122
X1133,Borrow,0,541,3279593.6739999996,14.8,-14.8,14.8,Q315A3 N Q315A3:D53_7. ANNUAL INTEREST RATE X1133
X1133,Borrow and save,0,3073,17828104.496000014,13.7,-13.7,13.7,Q315A3 N Q315A3:D53_7. ANNUAL INTEREST RATE X1133
X1133,Save,0.03153465296176989,10776,45523858.83999998,9.8,-9.76846534703823,9.76846534703823,Q315A3 N Q315A3:D53_7. ANNUAL INTEREST RATE X1133
X1216,Borrow,0,541,3279593.6739999996,14.8,-14.8,14.8,Q350 N Q350:D63.CURRENT INTEREST RATE CHARGED X1216
X1216,Borrow and save,0.20802377108750358,3073,17828104.496000014,13.7,-13.491976228912495,13.491976228912495,Q350 N Q350:D63.CURRENT INTEREST RATE CHARGED X1216
X1216,Save,0.05727500492355012,10776,45523858.83999998,9.8,-9.74272499507645,9.74272499507645,Q350 N Q350:D63.CURRENT INTEREST RATE CHARGED X1216
X1726,Borrow,0.1892790259114276,541,3279593.6739999996,14.8,-14.610720974088574,14.610720974088574,Q440A1 N Q440A1:E31. ANNUAL INTEREST RATE X1726
X1726,Borrow and save,0.671320292243367,3073,17828104.496000014,13.7,-13.028679707756632,13.028679707756632,Q440A1 N Q440A1:E31. ANNUAL INTEREST RATE X1726
X1726,Save,0.5557137511834003,10776,45523858.83999998,9.8,-9.2442862488166,9.2442862488166,Q440A1 N Q440A1:E31. ANNUAL INTEREST RATE X1726
X1727,Borrow,5.257750719761878e-4,541,3279593.6739999996,14.8,-14.799474224928025,14.799474224928025,Q441A1 N Q441A1:E32. ADJUSTABLE RATE? X1727
